cik,ticker,company,sic,afs,form,period,priceable
1750,AIR,AAR CORP,3720,1-LAF,10-Q,20240229,Y
1800,ABT,ABBOTT LABORATORIES,2834,1-LAF,10-K,20231231,Y
2098,ACU,ACME UNITED CORP,3420,2-ACC,10-K,20231231,Y
2178,,"ADAMS RESOURCES & ENERGY, INC.",5172,2-ACC,10-K,20231231,N
2186,BKTI,BK TECHNOLOGIES,3663,4-NON,10-K,20231231,Y
2488,AMD,ADVANCED MICRO DEVICES INC,3674,1-LAF,10-K,20231231,Y
2809,AEM,AGNICO EAGLE MINES LTD,1040,,40-F,20231231,Y
2969,APD,"AIR PRODUCTS & CHEMICALS, INC.",2810,1-LAF,10-Q,20231231,Y
3197,CECO,CECO ENVIRONMENTAL CORP,3564,2-ACC,10-K,20231231,Y
3453,MATX,"MATSON, INC.",4400,1-LAF,10-K,20231231,Y
3499,ALX,ALEXANDERS INC,6798,2-ACC,10-K,20231231,Y
3545,ALCO,"ALICO, INC.",0100,2-ACC,10-Q,20231231,Y
3570,LNG,CHENIERE ENERGY INC,4924,1-LAF,10-K,20231231,Y
4127,SWKS,SKYWORKS SOLUTIONS INC,3674,1-LAF,10-Q,20231231,Y
4281,HWM,HOWMET AEROSPACE INC.,3350,1-LAF,10-K,20231231,Y
4447,,HESS CORP,2911,1-LAF,10-K,20231231,N
4457,UHAL,U-HAUL HOLDING CO /NV/,7510,1-LAF,10-Q,20231231,Y
4904,,AMERICAN ELECTRIC POWER CO INC,4911,1-LAF,10-K,20231231,N
4962,AXP,AMERICAN EXPRESS CO,6199,1-LAF,10-K,20231231,Y
4977,AFL,AFLAC INC,6321,1-LAF,10-K,20231231,Y
5272,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",6331,1-LAF,10-K,20231231,Y
5513,UNM,UNUM GROUP,6321,1-LAF,10-K,20231231,Y
5981,AVD,AMERICAN VANGUARD CORP,2870,2-ACC,10-K,20231231,Y
6176,AP,AMPCO PITTSBURGH CORP,3561,4-NON,10-K,20231231,Y
6201,AAL,AMERICAN AIRLINES GROUP INC.,4512,1-LAF,10-K,20231231,Y
6207,AXR,AMREP CORP.,6552,4-NON,10-Q,20240131,Y
6281,ADI,ANALOG DEVICES INC,3674,1-LAF,10-Q,20240131,Y
6769,,APACHE CORP,1311,4-NON,10-K,20231231,N
6845,APOG,"APOGEE ENTERPRISES, INC.",3231,1-LAF,10-Q,20231130,Y
6951,AMAT,APPLIED MATERIALS INC /DE,3674,1-LAF,10-Q,20240131,Y
6955,EPAC,ENERPAC TOOL GROUP CORP,3590,1-LAF,10-Q,20240229,Y
7084,ADM,ARCHER-DANIELS-MIDLAND CO,2070,1-LAF,10-K,20231231,Y
7332,,SOUTHWESTERN ENERGY CO,1311,1-LAF,10-K,20231231,N
7431,AWI,ARMSTRONG WORLD INDUSTRIES INC,3089,1-LAF,10-K,20231231,Y
7536,ARW,"ARROW ELECTRONICS, INC.",5065,1-LAF,10-K,20231231,Y
7623,ARTW,ARTS WAY MANUFACTURING CO INC,3523,4-NON,10-K,20231130,Y
7789,ASB,ASSOCIATED BANC-CORP,6022,1-LAF,10-K,20231231,Y
8063,ATRO,ASTRONICS CORP,3728,2-ACC,10-K,20231231,Y
8670,ADP,AUTOMATIC DATA PROCESSING INC,7374,1-LAF,10-Q,20231231,Y
8818,AVY,AVERY DENNISON CORP,2670,1-LAF,10-K,20231231,Y
8858,AVT,AVNET INC,5065,1-LAF,10-Q,20231231,Y
8947,AZZ,AZZ INC,3470,1-LAF,10-Q,20231130,Y
9092,BMI,BADGER METER INC,3824,1-LAF,10-K,20231231,Y
9326,BCPC,BALCHEM CORP,2800,1-LAF,10-K,20231231,Y
9389,BALL,BALL CORP,3411,1-LAF,10-K,20231231,Y
9984,,BARNES GROUP INC,3490,1-LAF,10-K,20231231,N
10048,BRN,BARNWELL INDUSTRIES INC,1311,4-NON,10-Q,20231231,Y
10329,BSET,BASSETT FURNITURE INDUSTRIES INC,2511,2-ACC,10-K,20231130,Y
10456,BAX,BAXTER INTERNATIONAL INC,3841,1-LAF,10-K,20231231,Y
10795,BDX,BECTON DICKINSON & CO,3841,1-LAF,10-Q,20231231,Y
11544,WRB,BERKLEY W R CORP,6331,1-LAF,10-K,20231231,Y
12040,BDL,FLANIGANS ENTERPRISES INC,5812,4-NON,10-Q,20231231,Y
12208,BIO,"BIO-RAD LABORATORIES, INC.",3826,1-LAF,10-K,20231231,Y
12659,HRB,H&R BLOCK INC,7200,1-LAF,10-Q,20231231,Y
12927,BA,BOEING CO,3721,1-LAF,10-K,20231231,Y
13156,GLXZ,"GALAXY GAMING, INC.",7900,4-NON,10-K,20231231,Y
14177,BRID,BRIDGFORD FOODS CORP,2013,4-NON,10-Q,20240131,Y
14272,BMY,BRISTOL MYERS SQUIBB CO,2834,1-LAF,10-K,20231231,Y
14693,BF-A,BROWN FORMAN CORP,2080,1-LAF,10-Q,20240131,Y
14846,BRT,BRT APARTMENTS CORP.,6798,4-NON,10-K,20231231,Y
14930,BC,BRUNSWICK CORP,3510,1-LAF,10-K,20231231,Y
15357,,CHASE GENERAL CORP,2060,4-NON,10-Q,20231231,N
15615,MTZ,MASTEC INC,1623,1-LAF,10-K,20231231,Y
15847,BUKS,BUTLER NATIONAL CORP,7990,4-NON,10-Q,20240131,Y
16040,CBT,CABOT CORP,2890,1-LAF,10-Q,20231231,Y
16058,CACI,CACI INTERNATIONAL INC /DE/,7373,1-LAF,10-Q,20231231,Y
16160,CALM,CAL-MAINE FOODS INC,0200,1-LAF,10-Q,20231130,Y
16732,CPB,CAMPBELL SOUP CO,2000,1-LAF,10-Q,20240131,Y
16875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,4011,1-LAF,10-K,20231231,Y
16918,STZ,"CONSTELLATION BRANDS, INC.",2080,1-LAF,10-Q,20231130,Y
17313,CSWC,CAPITAL SOUTHWEST CORP,,4-NON,10-Q,20231231,Y
17843,CRS,CARPENTER TECHNOLOGY CORP,3312,1-LAF,10-Q,20231231,Y
18230,CAT,CATERPILLAR INC,3531,1-LAF,10-K,20231231,Y
18255,CATO,CATO CORP,5621,2-ACC,10-K,20240131,Y
18349,,SYNOVUS FINANCIAL CORP,6021,1-LAF,10-K,20231231,N
18498,GCO,GENESCO INC,5661,2-ACC,10-K,20240131,Y
18926,LUMN,"LUMEN TECHNOLOGIES, INC.",4813,1-LAF,10-K,20231231,Y
19584,CHE,CHEMED CORP,8082,1-LAF,10-K,20231231,Y
19617,JPM,JPMORGAN CHASE & CO,6021,1-LAF,10-K,20231231,Y
19745,CPK,CHESAPEAKE UTILITIES CORP,4923,1-LAF,10-K,20231231,Y
19871,CVR,CHICAGO RIVET & MACHINE CO,3540,4-NON,10-K,20231231,Y
20212,CHDN,CHURCHILL DOWNS INC,7948,1-LAF,10-K,20231231,Y
20286,CINF,CINCINNATI FINANCIAL CORP,6331,1-LAF,10-K,20231231,Y
20520,,"FRONTIER COMMUNICATIONS PARENT, INC.",4813,1-LAF,10-K,20231231,N
20639,ABCP,AMBASE CORP,6512,4-NON,10-K,20231231,Y
21076,CLX,CLOROX CO /DE/,2842,1-LAF,10-Q,20231231,Y
21175,CNA,CNA FINANCIAL CORP,6331,1-LAF,10-K,20231231,Y
21344,KO,COCA COLA CO,2080,1-LAF,10-K,20231231,Y
21535,COHU,COHU INC,3825,1-LAF,10-K,20231231,Y
21665,CL,COLGATE PALMOLIVE CO,2844,1-LAF,10-K,20231231,Y
22356,CBSH,COMMERCE BANCSHARES INC /MO/,6022,1-LAF,10-K,20231231,Y
22444,CMC,COMMERCIAL METALS CO,3312,1-LAF,10-Q,20231130,Y
23194,CRK,COMSTOCK RESOURCES INC,1311,1-LAF,10-K,20231231,Y
23217,CAG,CONAGRA BRANDS INC.,2000,1-LAF,10-Q,20231130,Y
23795,CTO,"CTO REALTY GROWTH, INC.",6798,2-ACC,10-K,20231231,Y
24090,CIA,"CITIZENS, INC.",6311,2-ACC,10-K,20231231,Y
24545,TAP-A,MOLSON COORS BEVERAGE CO,2082,1-LAF,10-K,20231231,Y
24741,GLW,CORNING INC /NY,3357,1-LAF,10-K,20231231,Y
25232,CUZ,COUSINS PROPERTIES INC,6798,1-LAF,10-K,20231231,Y
25445,CXT,"CRANE NXT, CO.",3490,1-LAF,10-K,20231231,Y
25475,CRD-A,CRAWFORD & CO,6411,2-ACC,10-K,20231231,Y
25743,TXMD,"THERAPEUTICSMD, INC.",2834,4-NON,10-K,20231231,Y
25895,CRWS,CROWN CRAFTS INC,2211,4-NON,10-Q,20231231,Y
26058,CTS,CTS CORP,3672,1-LAF,10-K,20231231,Y
26172,CMI,CUMMINS INC,3510,1-LAF,10-K,20231231,Y
26324,CW,CURTISS WRIGHT CORP,3590,1-LAF,10-K,20231231,Y
26780,DAN,DANA INC,3714,1-LAF,10-K,20231231,Y
27093,USAU,U.S. GOLD CORP.,1000,4-NON,10-Q,20240131,Y
27419,TGT,TARGET CORP,5331,1-LAF,10-K,20240131,Y
27673,,DEERE JOHN CAPITAL CORP,6153,4-NON,10-Q,20240131,N
27904,DAL,"DELTA AIR LINES, INC.",4512,1-LAF,10-K,20231231,Y
27996,DLX,DELUXE CORP,2780,1-LAF,10-K,20231231,Y
28412,,COMERICA INC /NEW/,6021,1-LAF,10-K,20231231,N
28823,DBD,"DIEBOLD NIXDORF, INC",3578,4-NON,10-K,20231231,Y
28917,DDS,"DILLARD'S, INC.",5311,1-LAF,10-K,20240131,Y
29002,DIOD,DIODES INC /DEL/,3674,1-LAF,10-K,20231231,Y
29332,DXYN,DIXIE GROUP INC,2273,4-NON,10-K,20231231,Y
29534,DG,DOLLAR GENERAL CORP,5331,1-LAF,10-K,20240131,Y
29644,DCI,DONALDSON CO INC,3564,1-LAF,10-Q,20240131,Y
29905,DOV,DOVER CORP,3530,1-LAF,10-K,20231231,Y
29989,OMC,OMNICOM GROUP INC.,7311,1-LAF,10-K,20231231,Y
30305,DCO,DUCOMMUN INC /DE/,3728,2-ACC,10-K,20231231,Y
30625,FLS,FLOWSERVE CORP,3561,1-LAF,10-K,20231231,Y
30697,WEN,WENDY'S CO,5810,1-LAF,10-K,20231231,Y
31107,EML,EASTERN CO,3420,2-ACC,10-K,20231231,Y
31235,KODK,EASTMAN KODAK CO,3861,2-ACC,10-K,20231231,Y
31462,ECL,ECOLAB INC.,2840,1-LAF,10-K,20231231,Y
31667,EDUC,EDUCATIONAL DEVELOPMENT CORP,5190,4-NON,10-Q,20231130,Y
31791,RVTY,"REVVITY, INC.",3826,1-LAF,10-K,20231231,Y
32604,EMR,EMERSON ELECTRIC CO,3600,1-LAF,10-Q,20231231,Y
32621,MSN,EMERSON RADIO CORP,3651,4-NON,10-Q,20231231,Y
33002,EBF,"ENNIS, INC.",2761,2-ACC,10-Q,20231130,Y
33185,EFX,EQUIFAX INC,7320,1-LAF,10-K,20231231,Y
33213,EQT,EQT CORP,1311,1-LAF,10-K,20231231,Y
33488,ESCA,ESCALADE INC,3949,2-ACC,10-K,20231231,Y
33533,ESP,ESPEY MFG & ELECTRONICS CORP,3679,4-NON,10-Q,20231231,Y
34067,BOOM,DMC GLOBAL INC.,3390,2-ACC,10-K,20231231,Y
34088,,EXXON MOBIL CORP,2911,1-LAF,10-K,20231231,N
34563,,FARMER BROTHERS CO,2090,2-ACC,10-Q,20231231,N
34782,SRCE,1ST SOURCE CORP,6022,1-LAF,10-K,20231231,Y
34903,FRT,FEDERAL REALTY INVESTMENT TRUST,6798,1-LAF,10-K,20231231,Y
34956,TENX,"TENAX THERAPEUTICS, INC.",2834,4-NON,10-K,20231231,Y
35527,FITB,FIFTH THIRD BANCORP,6022,1-LAF,10-K,20231231,Y
36029,FFIN,FIRST FINANCIAL BANKSHARES INC,6022,1-LAF,10-K,20231231,Y
36104,USB,US BANCORP DE,6021,1-LAF,10-K,20231231,Y
36146,TRMK,TRUSTMARK CORP,6021,1-LAF,10-K,20231231,Y
36270,MTB,M&T BANK CORP,6022,1-LAF,10-K,20231231,Y
36377,FHB,"FIRST HAWAIIAN, INC.",6022,1-LAF,10-K,20231231,Y
36840,FREVS,FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,6798,4-NON,10-Q,20240131,Y
36966,FHN,FIRST HORIZON CORP,6021,1-LAF,10-K,20231231,Y
37472,FLXS,FLEXSTEEL INDUSTRIES INC,2510,2-ACC,10-Q,20231231,Y
37785,FMC,FMC CORP,2800,1-LAF,10-K,20231231,Y
37808,FNB,FNB CORP/PA/,6021,1-LAF,10-K,20231231,Y
37996,F,FORD MOTOR CO,3711,1-LAF,10-K,20231231,Y
38009,,FORD MOTOR CREDIT CO LLC,6159,4-NON,10-K,20231231,N
38264,FWDI,"FORWARD INDUSTRIES, INC.",3089,4-NON,10-Q,20231231,Y
38725,FELE,FRANKLIN ELECTRIC CO INC,3621,1-LAF,10-K,20231231,Y
38777,BEN,FRANKLIN RESOURCES INC,6282,1-LAF,10-Q,20231231,Y
39020,FEIM,FREQUENCY ELECTRONICS INC,3825,4-NON,10-Q,20240131,Y
39092,FRD,FRIEDMAN INDUSTRIES INC,3310,4-NON,10-Q,20231231,Y
39263,CFR,"CULLEN/FROST BANKERS, INC.",6021,1-LAF,10-K,20231231,Y
39311,IBCP,INDEPENDENT BANK CORP /MI/,6022,2-ACC,10-K,20231231,Y
39368,FUL,FULLER H B CO,2891,1-LAF,10-K,20231130,Y
39899,,TEGNA INC,4833,1-LAF,10-K,20231231,N
39911,GAP,GAP INC,5651,1-LAF,10-K,20240131,Y
40211,GATX,GATX CORP,4700,1-LAF,10-K,20231231,Y
40533,GD,GENERAL DYNAMICS CORP,3730,1-LAF,10-K,20231231,Y
40545,GE,GENERAL ELECTRIC CO,3600,1-LAF,10-K,20231231,Y
40570,JOB,GEE GROUP INC.,7361,4-NON,10-Q,20231231,Y
40704,GIS,GENERAL MILLS INC,2040,1-LAF,10-Q,20240229,Y
40729,ALLY,ALLY FINANCIAL INC.,6022,1-LAF,10-K,20231231,Y
40987,GPC,GENUINE PARTS CO,5013,1-LAF,10-K,20231231,Y
41719,MAGN,GLATFELTER CORP,2621,2-ACC,10-K,20231231,Y
42582,GT,GOODYEAR TIRE & RUBBER CO /OH/,3011,1-LAF,10-K,20231231,Y
42682,GRC,GORMAN RUPP CO,3561,2-ACC,10-K,20231231,Y
42888,GGG,GRACO INC,3561,1-LAF,10-K,20231231,Y
43196,GTN,GRAY TELEVISION INC,4833,1-LAF,10-K,20231231,Y
43920,GEF,"GREIF, INC",3412,1-LAF,10-Q,20240131,Y
45012,HAL,HALLIBURTON CO,1389,1-LAF,10-K,20231231,Y
45876,,ENVIRI CORP,8900,1-LAF,10-K,20231231,N
46080,HAS,"HASBRO, INC.",3944,1-LAF,10-K,20231231,Y
46129,ALNT,ALLIENT INC,3825,2-ACC,10-K,20231231,Y
46195,BOH,BANK OF HAWAII CORP,6022,1-LAF,10-K,20231231,Y
