cik,ticker,company,sic,afs,form,period,priceable
1800,ABT,ABBOTT LABORATORIES,2834,1-LAF,10-Q,20210331,Y
1961,,WORLDS INC,7372,4-NON,10-Q,20210331,N
2098,ACU,ACME UNITED CORP,3420,2-ACC,10-Q,20210331,Y
2178,,"ADAMS RESOURCES & ENERGY, INC.",5172,4-NON,10-Q,20210331,N
2186,BKTI,BK TECHNOLOGIES,3663,4-NON,10-Q,20210331,Y
2488,AMD,ADVANCED MICRO DEVICES INC,3674,1-LAF,10-Q,20210331,Y
2969,APD,AIR PRODUCTS & CHEMICALS INC /DE/,2810,1-LAF,10-Q,20210331,Y
3197,CECO,CECO ENVIRONMENTAL CORP,3564,2-ACC,10-Q,20210331,Y
3453,MATX,"MATSON, INC.",4400,1-LAF,10-Q,20210331,Y
3499,ALX,ALEXANDERS INC,6798,2-ACC,10-Q,20210331,Y
3545,ALCO,"ALICO, INC.",0100,4-NON,10-Q,20210331,Y
3570,LNG,CHENIERE ENERGY INC,4924,1-LAF,10-Q,20210331,Y
4127,SWKS,SKYWORKS SOLUTIONS INC,3674,1-LAF,10-Q,20210331,Y
4281,HWM,HOWMET AEROSPACE INC.,3350,1-LAF,10-Q,20210331,Y
4447,,HESS CORP,2911,1-LAF,10-Q,20210331,N
4457,UHAL,AMERCO /NV/,7510,1-LAF,10-K,20210331,Y
4904,,AMERICAN ELECTRIC POWER CO INC,4911,1-LAF,10-Q,20210331,N
4962,AXP,AMERICAN EXPRESS CO,6199,1-LAF,10-Q,20210331,Y
4969,,AMERICAN EXPRESS CREDIT CORP,6153,4-NON,10-Q,20210331,N
4977,AFL,AFLAC INC,6321,1-LAF,10-Q,20210331,Y
5272,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",6331,1-LAF,10-Q,20210331,Y
5513,UNM,UNUM GROUP,6321,1-LAF,10-Q,20210331,Y
5981,AVD,AMERICAN VANGUARD CORP,2870,2-ACC,10-Q,20210331,Y
6176,AP,AMPCO PITTSBURGH CORP,3561,4-NON,10-Q,20210331,Y
6201,AAL,AMERICAN AIRLINES GROUP INC.,4512,1-LAF,10-Q,20210331,Y
6281,ADI,ANALOG DEVICES INC,3674,1-LAF,10-Q,20210430,Y
6494,,ANDREA ELECTRONICS CORP,3663,4-NON,10-Q,20210331,N
6769,,APACHE CORP,1311,1-LAF,10-Q,20210331,N
6845,APOG,"APOGEE ENTERPRISES, INC.",3231,2-ACC,10-K,20210228,Y
6951,AMAT,APPLIED MATERIALS INC /DE,3674,1-LAF,10-Q,20210430,Y
6955,EPAC,ENERPAC TOOL GROUP CORP,3590,1-LAF,10-Q,20210531,Y
7039,,TRECORA RESOURCES,2911,2-ACC,10-Q,20210331,N
7084,ADM,ARCHER-DANIELS-MIDLAND CO,2070,1-LAF,10-Q,20210331,Y
7332,,SOUTHWESTERN ENERGY CO,1311,1-LAF,10-Q,20210331,N
7431,AWI,ARMSTRONG WORLD INDUSTRIES INC,3089,1-LAF,10-Q,20210331,Y
7536,ARW,ARROW ELECTRONICS INC,5065,1-LAF,10-Q,20210331,Y
7623,ARTW,ARTS WAY MANUFACTURING CO INC,3523,4-NON,10-Q,20210228,Y
7789,ASB,ASSOCIATED BANC-CORP,6022,1-LAF,10-Q,20210331,Y
8063,ATRO,ASTRONICS CORP,3728,2-ACC,10-Q,20210331,Y
8146,ALOT,"ASTRONOVA, INC.",3577,4-NON,10-K,20210131,Y
8177,AAME,ATLANTIC AMERICAN CORP,6311,4-NON,10-Q,20210331,Y
8328,,"APPLIED MINERALS, INC.",1400,4-NON,10-K,20201231,N
8504,UAVS,AGEAGLE AERIAL SYSTEMS INC.,3721,4-NON,10-Q,20210331,Y
8670,ADP,AUTOMATIC DATA PROCESSING INC,7374,1-LAF,10-Q,20210331,Y
8818,AVY,AVERY DENNISON CORP,2670,1-LAF,10-Q,20210331,Y
8858,AVT,AVNET INC,5065,1-LAF,10-Q,20210331,Y
8868,,AVON PRODUCTS INC,2844,4-NON,10-Q,20210331,N
8947,AZZ,AZZ INC,3640,1-LAF,10-K,20210228,Y
9092,BMI,BADGER METER INC,3824,1-LAF,10-Q,20210331,Y
9326,BCPC,BALCHEM CORP,2800,1-LAF,10-Q,20210331,Y
9346,,PROTECTIVE INSURANCE CORP,6331,2-ACC,10-Q,20210331,N
9389,BALL,BALL CORP,3411,1-LAF,10-Q,20210331,Y
9984,,BARNES GROUP INC,3490,1-LAF,10-Q,20210331,N
10048,BRN,BARNWELL INDUSTRIES INC,1311,4-NON,10-Q,20210331,Y
10254,,EARTHSTONE ENERGY INC,1311,2-ACC,10-Q,20210331,N
10329,BSET,BASSETT FURNITURE INDUSTRIES INC,2511,2-ACC,10-Q,20210228,Y
10456,BAX,BAXTER INTERNATIONAL INC,3841,1-LAF,10-Q,20210331,Y
10795,BDX,BECTON DICKINSON & CO,3841,1-LAF,10-Q,20210331,Y
11544,WRB,BERKLEY W R CORP,6331,1-LAF,10-Q,20210331,Y
12040,BDL,FLANIGANS ENTERPRISES INC,5812,4-NON,10-Q,20210331,Y
12208,BIO,"BIO-RAD LABORATORIES, INC.",3826,1-LAF,10-Q,20210331,Y
12239,DOMH,AIKIDO PHARMA INC.,8731,4-NON,10-Q,20210331,Y
12659,HRB,H&R BLOCK INC,7200,1-LAF,10-K,20210430,Y
12927,BA,BOEING CO,3721,1-LAF,10-Q,20210331,Y
13156,GLXZ,"GALAXY GAMING, INC.",7900,4-NON,10-Q,20210331,Y
13239,,HEXION INC.,2821,4-NON,10-Q,20210331,N
13573,,BOWL AMERICA INC,7900,4-NON,10-Q,20210331,N
14177,BRID,BRIDGFORD FOODS CORP,2013,4-NON,10-Q,20210430,Y
14272,BMY,BRISTOL MYERS SQUIBB CO,2834,1-LAF,10-Q,20210331,Y
