company
Exxon Mobil
AmerisourceBergen
Costco Wholesale
Valero Energy
Walgreens Boots Alliance
Fannie Mae
Bank of America
Lowe's
State Farm Insurance
Freddie Mac
Wells Fargo
Raytheon Technologies
World Fuel Services
New York Life Insurance
Enterprise Products Partners
Publix Super Markets
Charter Communications
Nationwide
Liberty Mutual Insurance Group
TJX
Progressive
Qualcomm
TIAA
Massachusetts Mutual Life Insurance
Occidental Petroleum
Northwestern Mutual
Northrop Grumman
United Services Automobile Assn.
Lennar
D.R. Horton
Danaher
Paramount Global
U.S. Bancorp
Applied Materials
Rite Aid
Pioneer Natural Resources
McDonald's
Oneok
Hartford Financial Services Group
Charles Schwab
WestRock
International Paper
United States Steel
Goodyear Tire & Rubber
Marriott International
Whirlpool
Land O'Lakes
Devon Energy
Kohl's
Estée Lauder
L3Harris Technologies
Reliance Steel & Aluminum
DISH Network
DuPont
PulteGroup
Nordstrom
Kellogg
Discover Financial Services
Southwestern Energy
DCP Midstream
Laboratory Corp. of America
J.B. Hunt Transport Services
Guardian Life Ins. Co. of America
Berry Global Group
Tractor Supply
Corning
Icahn Enterprises
Farmers Insurance Exchange
American Family Insurance Group
Entergy
Peter Kiewit Sons'
Pacific Life
VMware
Western & Southern Financial Group
Casey's General Stores
AGCO
Amphenol
Mutual of Omaha Insurance
Hormel Foods
Jones Financial (Edward Jones)
Qurate Retail
Newmont
VF
Chesapeake Energy
Hess
Univar Solutions
Auto-Owners Insurance
Seaboard
W.R. Berkley
Interpublic Group
TravelCenters of America
American Tower
Graybar Electric
UGI
Owens & Minor
Altice USA
SpartanNash
EnLink Midstream
Continental Resources
Thrivent Financial for Lutherans
Erie Insurance Group
CommScope Holding
Citizens Financial Group
Coterra Energy
PVH
Arconic
Vertex Pharmaceuticals
Foot Locker
Masco
Campbell Soup
ODP
Beacon Roofing Supply
A-Mark Precious Metals
KeyCorp
Marathon Oil
Huntington Bancshares
NCR
ABM Industries
Activision Blizzard
Skechers U.S.A.
SVB Financial Group
Amazon
Energy Transfer Partners
IBM
New York Life Insurance Company
Nationwide Mutual Insurance Company
USAA
