ticker,company,sector,sector_src,sic,sic_description,score,band,confidence,periods,period_basis,growth_basis,as_of,window_end,valuation_basis,growth,profitability,quality,health,valuation,momentum,flags,rev_cagr,rev_yoy,eps_cagr,net_margin,ebit_margin,gross_margin,margin_delta,profitable_q,growth_sd,share_change,pe,ps,peg,pe_vs_own,ret_12m,ret_6m,drawdown,volatility,dollar_volume,market_cap,fcf_ttm,fcf_margin,fcf_conversion,p_fcf,pe_reported,pe_mcap,market_cap_source,currency,equity,total_debt,net_debt,cash,assets,net_debt_to_ebitda,interest_coverage,current_ratio,debt_to_equity,roe,equity_ratio,cash_runway_q,revenue_size,peer_net_margin_median,peer_pctile_net_margin,G1_revenue_cagr,G2_revenue_yoy,G3_eps_cagr,G4_acceleration,P1_net_margin_vs_peers,P2_ebit_margin_vs_peers,P3_gross_margin_vs_peers,P4_net_margin_absolute,P5_profitable_quarters,Q1_margin_trend,Q2_growth_stability,Q3_share_count,Q5_cash_conversion,Q4_earnings_streak,H1_net_debt_to_ebitda,H2_interest_coverage,H3_current_ratio,H4_equity_ratio,H5_cash_runway,H6_size_floor,V1_pe_vs_peers,V2_ps_vs_peers,V3_peg,V4_pe_vs_history,V5_price_to_fcf,M1_return_12m,M2_return_6m,M3_drawdown,M4_volatility,M5_liquidity,sector_rank_pct,sector_n
AMAL,AMALGAMATED FINANCIAL CORP.,Financials,sic,6022,,90.2,Strong,0.43,17,quarterly,3y,2022-12,2022-12-31,monthly_est,10.0,20.0,20.0,,15.7,15.5,leverage_not_applicable,,,21.37,,,,,12,,-3.36,8.74,,,0.89,39.78,17.46,-13.61,10.66,48951188.07,712053463.0,145654000.0,,178.77,4.89,8.74,8.74,monthly_est,USD,508822000.0,0.0,-38769000.0,63540000.0,7843124000.0,,,,0.0,16.01,0.06,,,7.21,,,,4,,,,,,3,,,4,4,3,,,,,,,3.9,,,1.5,4,5,3,3,2.5,2,99,656
STLD,STEEL DYNAMICS INC,Materials,sic,3312,,90.1,Strong,0.97,17,quarterly,3y,2022-12,2022-12-31,monthly_est,8.5,16.5,16.8,19.6,18.2,19.5,,28.61,20.92,90.33,17.37,22.87,27.48,10.89,12,45.12,-17.18,3.93,0.68,0.14,0.67,60.14,48.9,-5.67,12.45,3132274378.68,15186474928.0,3551501000.0,15.95,91.86,4.28,3.93,3.93,monthly_est,USD,8130357000.0,3070575000.0,1442158000.0,1628417000.0,14159984000.0,0.26,55.63,3.76,0.38,47.55,0.57,,22260774000.0,5.87,84,8,5,4,0.0,4.8,3.2,1.5,4,3,5,0.8,4,4,3,3.6,3,4,5,,2,6.0,3.25,3,2,4,6,4,4,2.5,3,100,205
CMC,COMMERCIAL METALS CO,Materials,sic,3312,,89.9,Strong,0.5,14,quarterly,2y,2022-12,2022-11-30,monthly_est,10.0,20.0,12.4,20.0,18.0,18.5,,,,117.84,,,,,12,,0.83,4.51,,,0.54,35.05,46.45,-1.87,11.16,853931073.28,5616390762.0,534010000.0,,42.85,10.52,4.51,4.51,monthly_est,USD,3584003000.0,1093146000.0,,,6273967000.0,,,2.99,0.31,34.77,0.57,,,5.87,,,,4,,,,,,3,,,2.4,1.4,3,,,4,5,,,4.8,,,2,4,5,4,4,2.5,3,100,205
TRST,TRUSTCO BANK CORP N Y,Financials,sic,6022,,89.9,Strong,0.43,15,quarterly,2y,2022-12,2022-12-31,monthly_est,10.0,20.0,18.5,,14.8,17.5,leverage_not_applicable,,,168.78,,,,,12,,-2.13,9.51,,,0.91,17.58,24.33,-2.31,8.17,48982635.41,715149753.0,74841000.0,,99.48,9.56,9.51,9.51,monthly_est,USD,599987000.0,,,650599000.0,6000052000.0,,,,,12.54,0.1,,,7.21,,,,4,,,,,,3,,,3.2,4,3,,,,,,,3.9,,,1,4,5,4,4,2.5,2,99,656
UFPI,UFP INDUSTRIES INC,,,2421,,89.7,Strong,0.53,18,quarterly,3y,2022-12,2022-12-31,monthly_est,10.0,20.0,15.6,20.0,20.0,13.0,,,,55.68,,,,,12,,2.04,6.99,,,0.63,-12.85,17.03,-13.52,11.88,479635962.49,4841318127.0,657443000.0,,94.92,7.36,6.99,6.99,monthly_est,USD,2563982000.0,278096000.0,-281301000.0,559397000.0,3672073000.0,,68.31,3.7,0.11,27.01,0.7,,,3.9,,,,4,,,,,,3,,,1.6,4,3,,3,4,5,,,6.0,,,2,4,2,3,3,2.5,2.5,,
THFF,FIRST FINANCIAL CORP /IN/,Financials,sic,6022,,89.6,Strong,0.37,18,quarterly,3y,2022-12,2022-12-31,monthly_est,,20.0,20.0,,17.2,14.5,leverage_not_applicable,,,,,,,,12,,,7.68,,,0.9,4.45,3.55,-4.97,5.78,48457690.39,546227347.0,75801000.0,,106.6,7.21,7.68,7.68,monthly_est,USD,475293000.0,,,,4989281000.0,,,,,14.96,0.1,,,7.21,,,,,,,,,,3,,,,4,3,,,,,,,4.8,,,1.5,4,3.5,2,4,3,2,99,656
WHD,"CACTUS, INC.",Industrials,sic,3533,,89.6,Strong,0.63,14,quarterly,2y,2022-12,2022-12-31,monthly_est,10.0,20.0,14.7,20.0,,16.0,,40.53,56.95,,16.01,25.39,,6.12,12,40.76,,,,,,33.0,25.37,-10.83,18.57,439151539.28,,,,,,,,,USD,571917000.0,0.0,-344527000.0,344527000.0,1118896000.0,-1.65,,5.61,0.0,19.26,0.51,,688369000.0,3.57,91,8,5,,3,6.0,4.0,,4,3,5,0.8,,,3,4,,4,5,,2,,,,,,5,4,3,1.5,2.5,100,614
CFFI,C & F FINANCIAL CORP,Financials,sic,6022,,89.4,Strong,0.37,14,quarterly,2y,2022-12,2022-12-31,monthly_est,,20.0,20.0,,15.5,16.0,leverage_not_applicable,,,,,,,,12,,,6.62,,,1.12,17.47,28.72,0.0,7.48,4040940.59,192942227.0,87165000.0,,298.93,2.21,6.62,6.62,monthly_est,USD,195634000.0,,,,2332317000.0,,,,,14.9,0.08,,,7.21,,,,,,,,,,3,,,,4,3,,,,,,,4.8,,,0.5,4,5,4,4,3,0.0,98,656
FGBI,"FIRST GUARANTY BANCSHARES, INC.",Financials,sic,6035,,89.2,Strong,0.27,15,quarterly,2y,2022-12,2022-12-31,monthly_est,,20.0,20.0,,,13.5,leverage_not_applicable,,,,,,,,12,,,,,,,18.18,-2.21,-18.08,9.37,5459958.15,,34222000.0,,118.48,,,,,USD,234991000.0,,,,3151347000.0,,,,,12.29,0.07,,,7.21,,,,,,,,,,3,,,,4,3,,,,,,,,,,,,5,2,3,2.5,1,98,656
BSVN,BANK7 CORP.,Financials,sic,6022,,89.1,Strong,0.43,17,quarterly,3y,2022-12,2022-12-31,monthly_est,10.0,20.0,20.0,,17.2,13.0,leverage_not_applicable,,,58.41,,,,,12,,-9.65,8.24,,,0.89,13.72,13.37,-7.34,14.48,8192878.1,244069777.0,39420000.0,,133.0,6.19,8.23,8.24,monthly_est,USD,144100000.0,,,,1584169000.0,,,,,20.57,0.09,,,7.21,,,,4,,,,,,3,,,4,4,3,,,,,,,4.8,,,1.5,4,3.5,3,4,1.5,1,98,656
MTH,MERITAGE HOMES CORP,Real Estate,sic,1531,,88.9,Strong,0.47,18,quarterly,3y,2022-12,2022-12-31,monthly_est,10.0,20.0,15.3,20.0,20.0,12.5,,,,61.08,,,,,12,,-5.16,1.72,,,0.53,-24.46,27.17,-24.46,16.55,659081830.36,1709880198.0,378299000.0,,38.13,4.52,1.72,1.72,monthly_est,USD,3949611000.0,,,861561000.0,5772101000.0,,,,,25.12,0.68,,,10.97,,,,4,,,,,,3,,,4,1.4,3,,,,5,,,6.0,,,2,4,1,4,3,1.5,3,100,269
VABK,VIRGINIA NATIONAL BANKSHARES CORP,Financials,sic,6021,,88.9,Strong,0.43,14,quarterly,2y,2022-12,2022-12-31,monthly_est,10.0,20.0,18.5,,18.0,13.5,leverage_not_applicable,,,22.06,,,,,12,,-1.34,8.45,,,0.43,0.26,18.46,-0.71,7.94,3626402.03,198142395.0,22139000.0,,94.46,8.95,8.45,8.45,monthly_est,USD,133416000.0,,,,1623359000.0,,,,,17.57,0.08,,,7.21,,,,4,,,,,,3,,,3.2,4,3,,,,,,,4.8,,,2,4,3.5,3,4,3,0.0,98,656
SYF,SYNCHRONY FINANCIAL,Financials,sic,6199,,88.9,Strong,0.37,15,quarterly,2y,2022-12,2022-12-31,monthly_est,10.0,20.0,20.0,,17.5,12.5,leverage_not_applicable,,,64.46,,,,,12,,-18.8,4.46,,,0.99,-27.43,20.58,-32.01,13.86,4495337797.58,13458665319.0,,,,,4.46,4.46,monthly_est,USD,12873000000.0,14191000000.0,3897000000.0,10294000000.0,104564000000.0,,,,1.1,23.43,0.12,,,7.21,,,,4,,,,,,3,,,4,,3,,,,,,,6.0,,,1,,1,4,2,2.5,3,98,656
CALM,CAL-MAINE FOODS INC,Consumer Staples,sic,0200,,88.8,Strong,0.9,14,quarterly,2y,2022-12,2022-11-30,monthly_est,10.0,17.0,13.4,20.0,18.2,19.0,,32.61,76.77,165.12,18.71,24.07,32.48,14.05,9,43.72,0.43,5.62,1.05,0.17,0.2,51.88,13.44,-6.57,7.65,880914005.38,2658123754.0,383027000.0,15.14,80.91,6.94,5.62,5.62,monthly_est,USD,1320957000.0,,,178635000.0,1763440000.0,,,3.18,,35.84,0.75,,2530493000.0,1.06,94,8,5,4,3,6.0,4.0,1.5,4,1.5,5,0.8,2.4,3.2,2,,,4,5,,2,6.0,3.25,3,2,4,6,3,4,3,3,100,151
OVLY,OAK VALLEY BANCORP,Financials,sic,6022,,88.6,Strong,0.43,14,quarterly,2y,2022-12,2022-12-31,monthly_est,10.0,20.0,17.1,,17.2,15.5,leverage_not_applicable,,,28.87,,,,,12,,0.47,8.17,,,0.86,32.37,32.79,0.0,8.85,2182587.93,187128933.0,22130000.0,,96.63,8.46,8.17,8.17,monthly_est,USD,126626000.0,,,429633000.0,1968346000.0,,,,,18.09,0.06,,,7.21,,,,4,,,,,,3,,,2.4,4,3,,,,,,,4.8,,,1.5,4,5,4,4,2.5,0.0,98,656
RS,RELIANCE STEEL & ALUMINUM CO,Industrials,sic,5051,,88.5,Strong,0.93,17,quarterly,3y,2022-12,2022-12-31,monthly_est,9.2,16.5,16.6,20.0,16.6,18.5,,15.76,20.8,42.55,10.83,14.72,,4.4,12,34.44,-9.73,6.1,0.66,0.39,0.72,27.08,20.24,-4.19,8.57,1611644347.89,11258263377.0,1776800000.0,10.44,96.35,6.34,6.11,6.1,monthly_est,USD,7087400000.0,1139400000.0,-34000000.0,1173400000.0,10329900000.0,-0.01,40.24,3.55,0.16,26.02,0.69,,17025000000.0,3.57,80,6.5,5,4,3,4.8,3.2,,3,3,4,1.6,4,4,3,4,3,4,5,,2,4.8,3.25,3,1.5,4,5,4,4,2.5,3,100,614
FBP,FIRST BANCORP /PR/,Financials,sic,6022,,88.5,Strong,0.43,15,quarterly,2y,2022-12,2022-12-31,monthly_est,10.0,20.0,20.0,,17.2,12.5,leverage_not_applicable,,,85.92,,,,,12,,-13.04,6.87,,,0.81,-4.71,0.1,-18.81,11.5,535772671.56,2095191435.0,420026000.0,,137.68,4.99,6.87,6.87,monthly_est,USD,1325540000.0,,,1696249000.0,18634484000.0,,,,,23.01,0.07,,,7.21,,,,4,,,,,,3,,,4,4,3,,,,,,,4.8,,,1.5,4,2,2,3,2.5,3,97,656
RBB,RBB BANCORP,Financials,sic,6022,,88.5,Strong,0.43,17,quarterly,3y,2022-12,2022-12-31,monthly_est,10.0,20.0,20.0,,19.2,10.5,leverage_not_applicable,,,20.15,,,,,12,,-5.86,5.92,,,0.76,-18.49,2.13,-21.29,8.44,20777807.97,380773132.0,91747000.0,,142.63,4.15,5.92,5.92,monthly_est,USD,,173585000.0,90037000.0,83548000.0,3919058000.0,,,,,,,,,7.21,,,,4,,,,,,3,,,4,4,3,,,,,,,6.0,,,1.5,4,2,2,3,2.5,1,98,656
NUE,NUCOR CORP,Materials,sic,3312,,88.1,Strong,0.83,17,quarterly,3y,2022-12,2022-12-31,monthly_est,7.2,18.2,16.8,20.0,18.2,16.5,,22.49,13.78,90.76,18.33,,,12.7,12,44.84,-14.14,4.15,0.76,0.18,0.52,17.39,27.32,-13.71,14.51,6305133840.11,31552817972.0,8124157000.0,19.57,106.79,3.88,4.15,4.15,monthly_est,USD,18414694000.0,6613687000.0,2332835000.0,4280852000.0,32479210000.0,,,3.39,0.36,41.31,0.57,,41512467000.0,5.87,86,6.5,4,4,0.0,4.8,,,4,3,5,0.8,4,4,3,,,4,5,,2,6.0,3.25,3,2,4,5,4,3,1.5,3,99,205
AGM,FEDERAL AGRICULTURAL MORTGAGE CORP,Financials,sic,6111,,88.1,Strong,0.37,15,quarterly,2y,2022-12,2022-12-31,monthly_est,10.0,20.0,20.0,,15.8,13.5,leverage_not_applicable,,,29.69,,,,,12,,-6.47,7.99,,,0.83,-5.83,17.41,-9.73,9.51,66517541.65,1426011930.0,,,,,7.99,7.99,monthly_est,USD,1271958000.0,,,861002000.0,27333110000.0,,,,,14.04,0.05,,,7.21,,,,4,,,,,,3,,,4,,3,,,,,,,4.8,,,1.5,,2,3,4,2.5,2,97,656
PGC,PEAPACK GLADSTONE FINANCIAL CORP,Financials,sic,6029,,88.0,Strong,0.43,18,quarterly,3y,2022-12,2022-12-31,monthly_est,7.5,20.0,20.0,,15.7,16.0,leverage_not_applicable,,,17.91,,,,,12,,-4.89,8.97,,,0.83,5.74,25.67,-9.7,10.89,41735678.34,665901744.0,115384000.0,,155.41,5.77,8.97,8.97,monthly_est,USD,532980000.0,,,,6353593000.0,,,,,13.93,0.08,,,7.21,,,,3,,,,,,3,,,4,4,3,,,,,,,3.9,,,1.5,4,3.5,4,4,2.5,2,97,656
BPOP,"POPULAR, INC.",Financials,sic,6022,,87.8,Strong,0.43,15,quarterly,2y,2022-12,2022-12-31,monthly_est,10.0,20.0,18.5,,20.0,10.5,leverage_not_applicable,,,57.55,,,,,12,,-11.68,4.32,,,0.67,-16.78,-12.45,-25.67,8.96,880398900.34,4758845823.0,910749000.0,,82.6,5.23,4.32,4.32,monthly_est,USD,4093425000.0,,,,67637917000.0,,,,,26.94,0.06,,,7.21,,,,4,,,,,,3,,,4,3.2,3,,,,,,,6.0,,,2,4,2,1,2,2.5,3,97,656
IBOC,INTERNATIONAL BANCSHARES CORP,Financials,sic,6022,,87.5,Strong,0.43,15,quarterly,2y,2022-12,2022-12-31,monthly_est,10.0,20.0,18.5,,15.7,14.5,leverage_not_applicable,,,35.33,,,,,12,,-1.54,9.49,,,0.85,10.94,15.69,-13.14,8.86,225074511.03,2848392183.0,368728000.0,,122.81,7.72,9.49,9.49,monthly_est,USD,2044759000.0,,,2087724000.0,15501476000.0,,,,,14.68,0.13,,,7.21,,,,4,,,,,,3,,,3.2,4,3,,,,,,,3.9,,,1.5,4,3.5,3,3,2.5,2.5,97,656
BSM,"BLACK STONE MINERALS, L.P.",Energy,sic,1311,,87.3,Strong,0.6,17,quarterly,3y,2022-12,2022-12-31,monthly_est,8.1,19.1,13.3,20.0,,18.0,,10.8,84.71,,71.8,72.71,,27.86,10,108.12,,,,,,80.82,29.77,-10.03,13.88,253272101.35,,,,,,,,,USD,,,,4307000.0,1271082000.0,,76.76,5.64,,,,,663604000.0,12.28,96,5,5,,3,6.0,4.0,,4,2.25,5,0.0,,,3,,3,4,,,2,,,,,,6,4,3,2.5,2.5,99,123
HAFC,HANMI FINANCIAL CORP,Financials,sic,6021,,87.2,Strong,0.37,18,quarterly,3y,2022-12,2022-12-31,monthly_est,10.0,20.0,17.7,,15.8,15.0,leverage_not_applicable,,,45.85,,,,,12,,-0.7,7.42,,,0.88,8.49,12.48,-8.5,11.5,76039341.63,752362448.0,,,,,7.42,7.42,monthly_est,USD,637515000.0,,,,7378262000.0,,,,,15.9,0.09,,,7.21,,,,4,,,,,,3,,,3.2,,3,,,,,,,4.8,,,1.5,,3.5,3,4,2.5,2,97,656
SRCE,1ST SOURCE CORP,Financials,sic,6022,,87.0,Strong,0.43,14,quarterly,2y,2022-12,2022-12-31,monthly_est,10.0,20.0,20.0,,13.3,15.0,leverage_not_applicable,,,23.56,,,,,12,,-3.18,10.9,,,1.05,9.81,18.36,-8.72,8.4,48327198.41,1314283475.0,173150000.0,,143.65,7.59,10.9,10.9,monthly_est,USD,864068000.0,,,,8339416000.0,,,,,13.95,0.1,,,7.21,,,,4,,,,,,3,,,4,4,3,,,,,,,3.0,,,1,4,3.5,3,4,2.5,2,96,656
BHB,BAR HARBOR BANKSHARES,Financials,sic,6022,,87.0,Strong,0.43,18,quarterly,3y,2022-12,2022-12-31,monthly_est,10.0,20.0,20.0,,13.3,15.0,leverage_not_applicable,,,25.7,,,,,12,,-3.29,11.25,,,0.98,14.76,26.07,0.0,8.57,12596675.04,490139196.0,55083000.0,,126.46,8.9,11.25,11.25,monthly_est,USD,393450000.0,,,92295000.0,3909803000.0,,,,,11.07,0.1,,,7.21,,,,4,,,,,,3,,,4,4,3,,,,,,,3.0,,,1,4,3.5,4,4,2.5,1,96,656
BCBP,BCB BANCORP INC,Financials,sic,6035,,87.0,Strong,0.43,17,quarterly,3y,2022-12,2022-12-31,monthly_est,10.0,20.0,15.6,,17.2,15.5,leverage_not_applicable,,,28.71,,,,,12,,1.52,7.1,,,0.79,20.67,7.4,-9.32,8.48,23116348.85,323397133.0,40371000.0,,88.57,8.01,7.09,7.1,monthly_est,USD,291254000.0,,,,3546193000.0,,,,,15.65,0.08,,,7.21,,,,4,,,,,,3,,,2.4,3.2,3,,,,,,,4.8,,,1.5,4,5,3,4,2.5,1,96,656
PKBK,"PARKE BANCORP, INC.",Financials,sic,6022,,87.0,Strong,0.43,13,quarterly,2y,2022-12,2022-12-31,monthly_est,10.0,20.0,17.1,,19.2,12.0,leverage_not_applicable,,,20.22,,,,,12,,1.92,5.99,,,0.87,0.4,0.51,-14.7,8.46,10489036.02,250524787.0,43300000.0,,103.53,5.79,5.99,5.99,monthly_est,USD,266034000.0,,,,1984915000.0,,,,,15.72,0.13,,,7.21,,,,4,,,,,,3,,,2.4,4,3,,,,,,,6.0,,,1.5,4,3.5,2,3,2.5,1,96,656
NKSH,NATIONAL BANKSHARES INC,Financials,sic,6021,,86.9,Strong,0.33,15,quarterly,2y,2022-12,2022-12-31,monthly_est,,20.0,20.0,,13.5,16.0,leverage_not_applicable,,,,,,,,12,,-7.93,9.48,,,0.86,17.24,30.96,0.0,5.91,4672849.52,245866632.0,,,,,9.48,9.48,monthly_est,USD,122687000.0,,,,1677551000.0,,,,,21.14,0.07,,,7.21,,,,,,,,,,3,,,4,,3,,,,,,,3.9,,,1.5,,5,4,4,3,0.0,96,656
XAEIU,AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,Real Estate,sic,6500,,86.7,Strong,0.1,14,quarterly,2y,2022-12,2022-12-31,monthly_est,,20.0,20.0,12.0,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,USD,,,,256165.0,7293270.0,,,1.27,,,,,,10.97,,,,,,,,,,3,,,,,3,,,2.4,,,,,,,,,,,,,,99,269
PBHC,"PATHFINDER BANCORP, INC.",Financials,sic,6022,,86.7,Strong,0.37,13,quarterly,2y,2022-12,2022-12-31,monthly_est,,20.0,20.0,,18.3,11.0,micro_cap|leverage_not_applicable,,,,,,,,12,,,1.97,,,0.96,13.48,-3.08,-11.72,8.27,1159189.53,25492850.0,19835000.0,,153.38,1.29,1.97,1.97,monthly_est,USD,110997000.0,55664000.0,,,1399921000.0,,,,0.5,11.65,0.08,,,7.21,,,,,,,,,,3,,,,4,3,,,,,,,6.0,,,1,4,3.5,2,3,2.5,0.0,96,656
VRTX,VERTEX PHARMACEUTICALS INC / MA,Health Care,sic,2834,,86.6,Strong,0.87,18,quarterly,3y,2022-12,2022-12-31,monthly_est,8.0,20.0,18.4,20.0,11.9,17.0,,28.97,17.91,41.66,37.2,48.23,,8.93,12,5.83,-0.67,22.54,8.39,0.78,0.91,31.5,2.48,-8.73,7.5,9039791438.82,74887843939.0,3925200000.0,43.95,118.16,19.08,22.54,22.54,monthly_est,USD,13912700000.0,,,10504000000.0,18150900000.0,,,4.83,,23.88,0.77,,8930700000.0,-64.99,97,8,4,4,0.0,6.0,4.0,,4,3,5,3.2,3.2,4,3,,,4,5,,2,3.9,1.75,3,1,2.2,5,2,4,3,3,100,857
ATKR,ATKORE INC.,Industrials,sic,3690,,86.6,Strong,0.93,15,quarterly,2y,2022-12,2022-12-31,monthly_est,8.0,19.4,16.0,18.1,17.8,16.0,,46.15,19.93,120.78,22.58,30.64,41.45,11.5,12,38.86,-10.75,4.66,1.05,0.1,0.85,2.01,36.63,-7.15,21.53,1003613473.18,4107684127.0,727070000.0,18.61,82.43,5.65,4.66,4.66,monthly_est,USD,1275042000.0,761074000.0,453247000.0,307827000.0,2571364000.0,0.35,,2.96,0.6,69.18,0.5,,3906969000.0,3.57,94,8,4,4,0.0,6.0,4.0,2.4,4,3,5,0.8,4,3.2,3,3.6,,4,4,,2,6.0,3.25,3,1.5,4,3.5,4,4,1.5,3,100,614
