ticker,company,sector,sector_src,sic,sic_description,score,band,confidence,periods,period_basis,growth_basis,as_of,window_end,valuation_basis,growth,profitability,quality,health,valuation,momentum,flags,rev_cagr,rev_yoy,eps_cagr,net_margin,ebit_margin,gross_margin,margin_delta,profitable_q,growth_sd,share_change,pe,ps,peg,pe_vs_own,ret_12m,ret_6m,drawdown,volatility,dollar_volume,market_cap,fcf_ttm,fcf_margin,fcf_conversion,p_fcf,pe_reported,pe_mcap,market_cap_source,currency,equity,total_debt,net_debt,cash,assets,net_debt_to_ebitda,interest_coverage,current_ratio,debt_to_equity,roe,equity_ratio,cash_runway_q,revenue_size,peer_net_margin_median,peer_pctile_net_margin,G1_revenue_cagr,G2_revenue_yoy,G3_eps_cagr,G4_acceleration,P1_net_margin_vs_peers,P2_ebit_margin_vs_peers,P3_gross_margin_vs_peers,P4_net_margin_absolute,P5_profitable_quarters,Q1_margin_trend,Q2_growth_stability,Q3_share_count,Q5_cash_conversion,Q4_earnings_streak,H1_net_debt_to_ebitda,H2_interest_coverage,H3_current_ratio,H4_equity_ratio,H5_cash_runway,H6_size_floor,V1_pe_vs_peers,V2_ps_vs_peers,V3_peg,V4_pe_vs_history,V5_price_to_fcf,M1_return_12m,M2_return_6m,M3_drawdown,M4_volatility,M5_liquidity,sector_rank_pct,sector_n
DMLP,"DORCHESTER MINERALS, L.P.",Energy,sic,1311,,98.1,Strong,0.27,13,quarterly,2y,2022-12,2022-12-31,monthly_est,,20.0,20.0,20.0,,18.5,,,,,,,,,12,,,,,,,71.68,34.76,-1.06,13.45,61635586.08,,,,,,,,,USD,,,,40754000.0,176243000.0,,,18.31,,,,,,12.28,,,,,,,,,,3,,,,,3,,,4,,,,,,,,,6,4,4,2.5,2,100,123
NECB,"NORTHEAST COMMUNITY BANCORP, INC./MD/",Financials,sic,6036,,93.1,Strong,0.37,13,quarterly,2y,2022-12,2022-12-31,monthly_est,,20.0,20.0,,18.0,16.5,leverage_not_applicable,,,,,,,,12,,,8.19,,,0.66,38.91,28.54,0.0,8.68,8144520.07,203358723.0,24235000.0,,97.55,8.39,8.19,8.19,monthly_est,USD,261989000.0,21000000.0,-74308000.0,95308000.0,1424963000.0,,,,0.08,9.48,0.18,,,7.21,,,,,,,,,,3,,,,4,3,,,,,,,4.8,,,2,4,5,4,4,2.5,1,100,656
MAAI,MID AMERICA APARTMENT COMMUNITIES INC.,Real Estate,sic,6798,,92.4,Strong,0.43,14,quarterly,2y,2022-12,2022-12-31,monthly_est,7.5,18.2,19.0,20.0,,,,9.72,13.6,58.33,31.56,,,16.36,12,4.37,-0.35,,,,,,,,,,,,,,,,,,USD,6005089000.0,,,38659000.0,11241165000.0,,,,,10.61,0.53,,2019866000.0,10.97,79,5,4,4,2,4.8,,,4,3,5,4,3.2,,3,,,,5,,2,,,,,,,,,,,100,269
NRIM,NORTHRIM BANCORP INC,Financials,sic,6035,,92.4,Strong,0.43,21,quarterly,3y,2022-12,2022-12-31,monthly_est,10.0,20.0,20.0,,16.7,16.5,leverage_not_applicable,,,20.13,,,,,12,,-15.22,2.49,,,1.52,30.72,38.47,-0.98,8.91,17164742.67,76565863.0,74327000.0,,241.78,1.03,2.49,2.49,monthly_est,USD,218629000.0,,,,2674318000.0,,,,,14.06,0.08,,,7.21,,,,4,,,,,,3,,,4,4,3,,,,,,,6.0,,,0.0,4,5,4,4,2.5,1,100,656
MSBI,"MIDLAND STATES BANCORP, INC.",Financials,sic,6022,,91.3,Strong,0.43,18,quarterly,3y,2022-12,2022-12-31,monthly_est,10.0,20.0,20.0,,17.2,15.0,leverage_not_applicable,,,23.33,,,,,12,,-8.45,6.82,,,0.72,12.0,13.09,-6.35,10.85,36827838.84,675183668.0,233285000.0,,235.58,2.89,6.82,6.82,monthly_est,USD,758574000.0,,,150321000.0,7855501000.0,,,,,13.05,0.1,,,7.21,,,,4,,,,,,3,,,4,4,3,,,,,,,4.8,,,1.5,4,3.5,3,4,2.5,2,100,656
ATLO,AMES NATIONAL CORP,Financials,sic,6021,,90.8,Strong,0.27,14,quarterly,2y,2022-12,2022-12-31,monthly_est,,20.0,20.0,,,14.5,leverage_not_applicable,,,,,,,,12,,,,,,,0.98,9.08,-1.56,6.91,8588318.19,,18373000.0,,95.23,,,,,USD,149098000.0,,,27884000.0,2134926000.0,,,,,12.94,0.07,,,7.21,,,,,,,,,,3,,,,4,3,,,,,,,,,,,,3.5,3,4,3,1,100,656
FUNC,FIRST UNITED CORP/MD/,Financials,sic,6021,,90.2,Strong,0.43,14,quarterly,2y,2022-12,2022-12-31,monthly_est,10.0,20.0,20.0,,19.2,12.0,leverage_not_applicable,,,38.15,,,,,12,,-5.09,5.14,,,0.77,8.04,6.55,-15.61,10.69,3710762.1,128746798.0,22967000.0,,91.69,5.61,5.14,5.14,monthly_est,USD,151793000.0,30929000.0,-43386000.0,74315000.0,1848169000.0,,,,0.2,16.5,0.08,,,7.21,,,,4,,,,,,3,,,4,4,3,,,,,,,6.0,,,1.5,4,3.5,3,3,2.5,0.0,99,656
MRTN,MARTEN TRANSPORT LTD,Industrials,sic,4213,,90.2,Strong,0.43,18,quarterly,3y,2022-12,2022-12-31,monthly_est,10.0,20.0,20.0,18.2,13.5,17.5,,,,23.05,,,,,12,,-3.58,14.42,,,0.85,16.73,18.3,-7.7,7.66,166375394.96,1590853650.0,,,,,14.42,14.42,monthly_est,USD,703919000.0,,,80600000.0,965679000.0,,,1.9,,15.68,0.73,,,3.57,,,,4,,,,,,3,,,4,,3,,,3.2,5,,,3.9,,,1.5,,5,3,4,3,2.5,100,614
OFG,OFG BANCORP,Financials,sic,6022,,90.2,Strong,0.43,14,quarterly,2y,2022-12,2022-12-31,monthly_est,10.0,20.0,18.5,,17.2,15.5,leverage_not_applicable,,,61.43,,,,,12,,-12.24,7.76,,,0.9,6.54,10.17,-4.16,9.9,136320786.39,1289840086.0,133457000.0,,80.28,9.66,7.76,7.76,monthly_est,USD,1042406000.0,,,550307000.0,9818780000.0,,,,,15.95,0.11,,,7.21,,,,4,,,,,,3,,,4,3.2,3,,,,,,,4.8,,,1.5,4,3.5,3,4,2.5,2.5,99,656
WNEB,"WESTERN NEW ENGLAND BANCORP, INC.",Financials,sic,6035,,90.2,Strong,0.43,18,quarterly,3y,2022-12,2022-12-31,monthly_est,10.0,20.0,20.0,,17.2,14.0,leverage_not_applicable,,,33.51,,,,,12,,-18.13,7.65,,,0.82,10.97,28.52,-4.83,9.84,4742674.98,198004251.0,34946000.0,,134.99,5.67,7.65,7.65,monthly_est,USD,228143000.0,42676000.0,,,2553150000.0,,,,0.19,11.35,0.09,,,7.21,,,,4,,,,,,3,,,4,4,3,,,,,,,4.8,,,1.5,4,3.5,4,4,2.5,0.0,99,656
